unit_list	faction_set	point_cap
wh3_unit_cap_vmp_veh_coven_throne	wh_main_vmp_vampire_counts	0
wh3_unit_cap_vmp_veh_mortis_engine_0	wh2_dlc11_vmp_the_barrow_legion	0
wh3_unit_cap_vmp_veh_mortis_engine_0	wh3_dlc29_vmp_neferata	0
wh3_unit_cap_vmp_veh_mortis_engine_0	wh3_main_vmp_caravan_of_blue_roses	0
wh3_unit_cap_vmp_veh_mortis_engine_0	wh_main_vmp_schwartzhafen	0
wh3_unit_cap_vmp_veh_mortis_engine_0	wh_main_vmp_vampire_counts	0
wh_main_vmp_cav_hexwraiths	wh3_dlc29_nag_host_of_nagash	1
wh_main_vmp_inf_crypt_ghouls	wh3_dlc29_nag_host_of_nagash	2
wh_main_vmp_inf_skeleton_warriors_0	wh3_dlc29_nag_host_of_nagash	2147483647
wh_main_vmp_inf_zombie	wh3_dlc29_nag_host_of_nagash	2147483647
wh_main_vmp_mon_dire_wolves	wh3_dlc29_nag_host_of_nagash	2
wh_main_vmp_mon_fell_bats	wh3_dlc29_nag_host_of_nagash	2147483647
wh_main_vmp_mon_terrorgheist	wh3_dlc29_nag_host_of_nagash	1
wh_main_vmp_mon_vargheists	wh3_dlc29_nag_host_of_nagash	1
wh_main_vmp_mon_varghulf	wh3_dlc29_nag_host_of_nagash	1
